,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
948,Forest Industry,Cypress,Roundwood product,Nongrowing-stock,Composite panel,0.435682599,5.607240658,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,15.13954978
949,Forest Industry,Cypress,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,1.305749197,16.95778178,Thousand cubic feet (M cu. ft.),,45.78601081
950,Forest Industry,Cypress,Roundwood product,Nongrowing-stock,Miscellaneous,0.001323626,0.001323626,Thousand cubic feet (M cu. ft.),,0.046326927
951,Forest Industry,Cypress,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.012153846,0.012153846,Thousand cubic feet (M cu. ft.),,0.364590641
952,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Saw logs,8588.374991,51072.76764,Thousand board feet (MBF) - International 1/4-inch rule,,298488.632
953,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Veneer logs,176.880878,1046.632414,Thousand board feet (MBF) - International 1/4-inch rule,,6114.949881
954,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Pulpwood,2429.568917,32307.2408,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,87229.55015
955,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Composite panel,139.0770711,1789.923695,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4832.793977
956,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,253.4317331,3291.32121,Thousand cubic feet (M cu. ft.),,8886.567266
957,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Miscellaneous,16.27768703,16.27768703,Thousand cubic feet (M cu. ft.),,569.719046
958,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",58.44011648,58.44011648,Thousand cubic feet (M cu. ft.),,1753.064564
959,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Saw logs,112.6306041,669.7840601,Thousand board feet (MBF) - International 1/4-inch rule,,3914.472174
960,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Veneer logs,0.913831743,5.407288419,Thousand board feet (MBF) - International 1/4-inch rule,,31.59208259
961,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Pulpwood,3205.994389,42631.77388,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,115105.7895
962,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Composite panel,571.6499159,7357.141774,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,19864.28279
963,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,210.8874761,2738.798391,Thousand cubic feet (M cu. ft.),,7394.755656
964,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,Miscellaneous,18.84883763,18.84883763,Thousand cubic feet (M cu. ft.),,659.7093169
965,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",67.88636255,67.88636255,Thousand cubic feet (M cu. ft.),,2036.428534
966,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Saw logs,215.4691285,1281.337243,Thousand board feet (MBF) - International 1/4-inch rule,,7488.621008
967,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Veneer logs,3.633651178,21.50089454,Thousand board feet (MBF) - International 1/4-inch rule,,125.6189764
968,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Pulpwood,495.7724837,6592.544422,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,17799.86994
969,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Composite panel,87.44560041,1125.426003,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3038.650207
970,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,759.1949152,9859.674223,Thousand cubic feet (M cu. ft.),,26621.1204
971,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,Miscellaneous,0.427145476,0.427145476,Thousand cubic feet (M cu. ft.),,14.95009167
972,Forest Industry,Loblolly-Shortleaf pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",1.373215767,1.373215767,Thousand cubic feet (M cu. ft.),,41.19392018
973,Forest Industry,Loblolly-Shortleaf pine,Logging residues,Sawtimber growing stock,Not Used,494.0433786,494.0433786,Thousand cubic feet (M cu. ft.),13303.62992,17291.51825
974,Forest Industry,Loblolly-Shortleaf pine,Logging residues,Poletimber growing stock,Not Used,329.4842323,329.4842323,Thousand cubic feet (M cu. ft.),13303.62992,11531.94813
975,Forest Industry,Loblolly-Shortleaf pine,Logging residues,Nongrowing-stock,Not Used,1713.844645,1713.844645,Thousand cubic feet (M cu. ft.),13303.62992,59984.56257
976,Forest Industry,Loblolly-Shortleaf pine,Other removals,Sawtimber growing stock,Not Used,77.68463003,77.68463003,Thousand cubic feet (M cu. ft.),398.9828292,2718.962051
977,Forest Industry,Loblolly-Shortleaf pine,Other removals,Poletimber growing stock,Not Used,51.80893379,51.80893379,Thousand cubic feet (M cu. ft.),398.9828292,1813.312682
978,Forest Industry,Loblolly-Shortleaf pine,Other removals,Nongrowing-stock,Not Used,269.4892654,269.4892654,Thousand cubic feet (M cu. ft.),398.9828292,9432.124288
979,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Saw logs,361.9830629,2153.312083,Thousand board feet (MBF) - International 1/4-inch rule,,12586.07117
980,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Veneer logs,6.75411676,39.96518793,Thousand board feet (MBF) - International 1/4-inch rule,,233.4966105
981,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Pulpwood,83.01290474,1102.096881,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2975.66158
982,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Composite panel,5.717813023,73.5883272,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,198.6884834
983,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,7.701082294,100.0140558,Thousand cubic feet (M cu. ft.),,270.0379506
984,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,Miscellaneous,0.568421253,0.568421253,Thousand cubic feet (M cu. ft.),,19.89474386
985,Forest Industry,Longleaf-Slash pine,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",3.162755172,3.162755172,Thousand cubic feet (M cu. ft.),,94.87479152
986,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Saw logs,4.747157766,28.23920019,Thousand board feet (MBF) - International 1/4-inch rule,,165.0576273
987,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Veneer logs,0.034894254,0.206474876,Thousand board feet (MBF) - International 1/4-inch rule,,1.206329462
988,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Pulpwood,109.5416166,1454.297671,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,3926.603711
989,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Composite panel,23.50198568,302.4708582,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,816.6713172
990,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,6.408281189,83.22443103,Thousand cubic feet (M cu. ft.),,224.7059638
991,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,Miscellaneous,0.658206531,0.658206531,Thousand cubic feet (M cu. ft.),,23.03722857
992,Forest Industry,Longleaf-Slash pine,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",3.67451651,3.67451651,Thousand cubic feet (M cu. ft.),,110.2263065
993,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Saw logs,9.081598691,54.02329059,Thousand board feet (MBF) - International 1/4-inch rule,,315.7651812
994,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Veneer logs,0.138749336,0.821001986,Thousand board feet (MBF) - International 1/4-inch rule,,4.796704105
995,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Pulpwood,16.93943056,224.891463,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,607.2069501
996,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Composite panel,3.595111609,46.26913268,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,124.9266582
997,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,23.06981232,299.6079522,Thousand cubic feet (M cu. ft.),,808.9414709
998,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,Miscellaneous,0.014916036,0.014916036,Thousand cubic feet (M cu. ft.),,0.522061263
999,Forest Industry,Longleaf-Slash pine,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.073919975,0.073919975,Thousand cubic feet (M cu. ft.),,2.217454762
1000,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Saw logs,7.928202062,47.1503153,Thousand board feet (MBF) - International 1/4-inch rule,,275.5707138
1001,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Veneer logs,0.15983853,0.94579012,Thousand board feet (MBF) - International 1/4-inch rule,,5.525778775
1002,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Pulpwood,2.147514244,28.54791896,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,77.07938118
1003,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Composite panel,0.12767863,1.643225613,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4.436709156
1004,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.219300959,2.848064403,Thousand cubic feet (M cu. ft.),,7.689773887
1005,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,Miscellaneous,0.014448177,0.014448177,Thousand cubic feet (M cu. ft.),,0.505686202
1006,Forest Industry,Other pines,Roundwood product,Sawtimber growing stock,"Poles, Posts, Pilings",0.057386667,0.057386667,Thousand cubic feet (M cu. ft.),,1.72146188
1007,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Saw logs,0.103972892,0.618343808,Thousand board feet (MBF) - International 1/4-inch rule,,3.613919512
1008,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Veneer logs,0.000825785,0.0048863,Thousand board feet (MBF) - International 1/4-inch rule,,0.028548208
1009,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Pulpwood,2.833802559,37.67107297,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,101.711897
1010,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Composite panel,0.524798787,6.754167141,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,18.23625128
1011,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.182486326,2.369952279,Thousand cubic feet (M cu. ft.),,6.398871154
1012,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,Miscellaneous,0.016730347,0.016730347,Thousand cubic feet (M cu. ft.),,0.585562132
1013,Forest Industry,Other pines,Roundwood product,Poletimber growing stock,"Poles, Posts, Pilings",0.06666526,0.06666526,Thousand cubic feet (M cu. ft.),,1.999796401
1014,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Saw logs,0.198906404,1.182928942,Thousand board feet (MBF) - International 1/4-inch rule,,6.913645666
1015,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Veneer logs,0.003283551,0.019429299,Thousand board feet (MBF) - International 1/4-inch rule,,0.113515677
1016,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Pulpwood,0.438217028,5.825425484,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,15.72864881
1017,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Composite panel,0.080278758,1.033188643,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,2.789609336
1018,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.656950773,8.531828219,Thousand cubic feet (M cu. ft.),,23.03593619
1019,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,Miscellaneous,0.000379137,0.000379137,Thousand cubic feet (M cu. ft.),,0.013269795
1020,Forest Industry,Other pines,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",0.001346506,0.001346506,Thousand cubic feet (M cu. ft.),,0.040392649
1021,Forest Industry,Ash,Roundwood product,Sawtimber growing stock,Saw logs,23.87118645,141.3700942,Thousand board feet (MBF) - International 1/4-inch rule,,887.5214512
1022,Forest Industry,Ash,Roundwood product,Sawtimber growing stock,Veneer logs,0.031769233,0.194903269,Thousand board feet (MBF) - International 1/4-inch rule,,1.223602724
1023,Forest Industry,Ash,Roundwood product,Sawtimber growing stock,Pulpwood,42.52377208,601.8162854,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1685.085599
1024,Forest Industry,Ash,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,17.37003069,230.0666317,Thousand cubic feet (M cu. ft.),,644.1865687
1025,Forest Industry,Ash,Roundwood product,Sawtimber growing stock,Miscellaneous,0.036938102,0.036938102,Thousand cubic feet (M cu. ft.),,1.385178821
1026,Forest Industry,Ash,Roundwood product,Poletimber growing stock,Saw logs,0.77138974,4.568329289,Thousand board feet (MBF) - International 1/4-inch rule,,28.67997127
1027,Forest Industry,Ash,Roundwood product,Poletimber growing stock,Veneer logs,0.231038244,1.417412541,Thousand board feet (MBF) - International 1/4-inch rule,,8.898515935
1028,Forest Industry,Ash,Roundwood product,Poletimber growing stock,Pulpwood,46.39814052,656.6481572,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1838.61484
1029,Forest Industry,Ash,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,1.709550548,22.64305362,Thousand cubic feet (M cu. ft.),,63.40055014
1030,Forest Industry,Ash,Roundwood product,Poletimber growing stock,Miscellaneous,0.005567394,0.005567394,Thousand cubic feet (M cu. ft.),,0.208777292
1031,Forest Industry,Ash,Roundwood product,Nongrowing-stock,Saw logs,0.293244518,1.736654571,Thousand board feet (MBF) - International 1/4-inch rule,,10.9027174
1032,Forest Industry,Ash,Roundwood product,Nongrowing-stock,Veneer logs,0.000124023,0.000760875,Thousand board feet (MBF) - International 1/4-inch rule,,0.004776776
1033,Forest Industry,Ash,Roundwood product,Nongrowing-stock,Pulpwood,5.359111764,75.84465293,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,212.3650282
1034,Forest Industry,Ash,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,1.907538333,25.26540839,Thousand cubic feet (M cu. ft.),,70.74314349
1035,Forest Industry,Ash,Roundwood product,Nongrowing-stock,Miscellaneous,0.000914895,0.000914895,Thousand cubic feet (M cu. ft.),,0.034308552
1036,Forest Industry,Beech,Roundwood product,Sawtimber growing stock,Saw logs,0.058682327,0.347232703,Thousand board feet (MBF) - International 1/4-inch rule,,2.179926909
1037,Forest Industry,Beech,Roundwood product,Sawtimber growing stock,Veneer logs,6.09E-05,0.000373603,Thousand board feet (MBF) - International 1/4-inch rule,,0.002345482
1038,Forest Industry,Beech,Roundwood product,Sawtimber growing stock,Pulpwood,0.103975313,1.472717225,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4.123608231
1039,Forest Industry,Beech,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.042372102,0.561219897,Thousand cubic feet (M cu. ft.),,1.571415711
1040,Forest Industry,Beech,Roundwood product,Sawtimber growing stock,Miscellaneous,8.06E-05,8.06E-05,Thousand cubic feet (M cu. ft.),,0.003023467
1041,Forest Industry,Beech,Roundwood product,Poletimber growing stock,Saw logs,0.001896301,0.011220714,Thousand board feet (MBF) - International 1/4-inch rule,,0.070443639
1042,Forest Industry,Beech,Roundwood product,Poletimber growing stock,Veneer logs,0.000442869,0.002716989,Thousand board feet (MBF) - International 1/4-inch rule,,0.017057257
1043,Forest Industry,Beech,Roundwood product,Poletimber growing stock,Pulpwood,0.113448571,1.606897446,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,4.499312849
1044,Forest Industry,Beech,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.004170243,0.055235008,Thousand cubic feet (M cu. ft.),,0.154658022
1045,Forest Industry,Beech,Roundwood product,Poletimber growing stock,Miscellaneous,1.22E-05,1.22E-05,Thousand cubic feet (M cu. ft.),,0.000455704
1046,Forest Industry,Beech,Roundwood product,Nongrowing-stock,Saw logs,0.00072088,0.004265565,Thousand board feet (MBF) - International 1/4-inch rule,,0.026779214
1047,Forest Industry,Beech,Roundwood product,Nongrowing-stock,Veneer logs,2.38E-07,1.46E-06,Thousand board feet (MBF) - International 1/4-inch rule,,9.16E-06
1048,Forest Industry,Beech,Roundwood product,Nongrowing-stock,Pulpwood,0.013103619,0.185601037,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.519682904
1049,Forest Industry,Beech,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.004653211,0.061631927,Thousand cubic feet (M cu. ft.),,0.172569396
1050,Forest Industry,Beech,Roundwood product,Nongrowing-stock,Miscellaneous,2.00E-06,2.00E-06,Thousand cubic feet (M cu. ft.),,7.49E-05
1051,Forest Industry,Other birch,Roundwood product,Sawtimber growing stock,Saw logs,1.172593906,7.033497087,Thousand board feet (MBF) - International 1/4-inch rule,,44.15629471
1052,Forest Industry,Other birch,Roundwood product,Sawtimber growing stock,Veneer logs,0.00673869,0.041341658,Thousand board feet (MBF) - International 1/4-inch rule,,0.25954293
1053,Forest Industry,Other birch,Roundwood product,Sawtimber growing stock,Pulpwood,2.257575333,31.58599143,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,88.440776
1054,Forest Industry,Other birch,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,0.952135503,12.61106626,Thousand cubic feet (M cu. ft.),,35.31098554
1055,Forest Industry,Other birch,Roundwood product,Sawtimber growing stock,Miscellaneous,0.00487872,0.00487872,Thousand cubic feet (M cu. ft.),,0.182952
1056,Forest Industry,Other birch,Roundwood product,Poletimber growing stock,Saw logs,0.037891996,0.227285204,Thousand board feet (MBF) - International 1/4-inch rule,,1.426896513
1057,Forest Industry,Other birch,Roundwood product,Poletimber growing stock,Veneer logs,0.049006382,0.300652653,Thousand board feet (MBF) - International 1/4-inch rule,,1.887497353
1058,Forest Industry,Other birch,Roundwood product,Poletimber growing stock,Pulpwood,2.463264484,34.46381158,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,96.49867242
1059,Forest Industry,Other birch,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.093708745,1.241175426,Thousand cubic feet (M cu. ft.),,3.475291193
1060,Forest Industry,Other birch,Roundwood product,Poletimber growing stock,Miscellaneous,0.000735332,0.000735332,Thousand cubic feet (M cu. ft.),,0.02757494
1061,Forest Industry,Other birch,Roundwood product,Nongrowing-stock,Saw logs,0.014404677,0.086402679,Thousand board feet (MBF) - International 1/4-inch rule,,0.542436019
1062,Forest Industry,Other birch,Roundwood product,Nongrowing-stock,Veneer logs,2.63E-05,0.000161392,Thousand board feet (MBF) - International 1/4-inch rule,,0.00101322
1063,Forest Industry,Other birch,Roundwood product,Nongrowing-stock,Pulpwood,0.284513766,3.980664225,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,11.14585983
1064,Forest Industry,Other birch,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.104561414,1.384919391,Thousand cubic feet (M cu. ft.),,3.877774294
1065,Forest Industry,Other birch,Roundwood product,Nongrowing-stock,Miscellaneous,0.000120838,0.000120838,Thousand cubic feet (M cu. ft.),,0.004531414
1066,Forest Industry,Black cherry,Roundwood product,Sawtimber growing stock,Saw logs,1.866802386,11.12136821,Thousand board feet (MBF) - International 1/4-inch rule,,69.8199496
1067,Forest Industry,Black cherry,Roundwood product,Sawtimber growing stock,Veneer logs,0.006304957,0.038680719,Thousand board feet (MBF) - International 1/4-inch rule,,0.242837554
1068,Forest Industry,Black cherry,Roundwood product,Sawtimber growing stock,Pulpwood,3.44998829,48.55708249,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,135.959831
1069,Forest Industry,Black cherry,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,1.431353644,18.9583264,Thousand cubic feet (M cu. ft.),,53.08331393
1070,Forest Industry,Black cherry,Roundwood product,Sawtimber growing stock,Miscellaneous,0.005149531,0.005149531,Thousand cubic feet (M cu. ft.),,0.193107417
1071,Forest Industry,Black cherry,Roundwood product,Poletimber growing stock,Saw logs,0.060325121,0.35938345,Thousand board feet (MBF) - International 1/4-inch rule,,2.256209296
1072,Forest Industry,Black cherry,Roundwood product,Poletimber growing stock,Veneer logs,0.045852106,0.281301265,Thousand board feet (MBF) - International 1/4-inch rule,,1.766009344
1073,Forest Industry,Black cherry,Roundwood product,Poletimber growing stock,Pulpwood,3.764318959,52.98114975,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,148.3472193
1074,Forest Industry,Black cherry,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.140873177,1.865869893,Thousand cubic feet (M cu. ft.),,5.224435699
1075,Forest Industry,Black cherry,Roundwood product,Poletimber growing stock,Miscellaneous,0.000776149,0.000776149,Thousand cubic feet (M cu. ft.),,0.029105588
1076,Forest Industry,Black cherry,Roundwood product,Nongrowing-stock,Saw logs,0.02293265,0.136619948,Thousand board feet (MBF) - International 1/4-inch rule,,0.857700034
1077,Forest Industry,Black cherry,Roundwood product,Nongrowing-stock,Veneer logs,2.46E-05,0.000151004,Thousand board feet (MBF) - International 1/4-inch rule,,0.000948004
1078,Forest Industry,Black cherry,Roundwood product,Nongrowing-stock,Pulpwood,0.434789106,6.119467283,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,17.13450839
1079,Forest Industry,Black cherry,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.15718809,2.081961454,Thousand cubic feet (M cu. ft.),,5.829492071
1080,Forest Industry,Black cherry,Roundwood product,Nongrowing-stock,Miscellaneous,0.000127545,0.000127545,Thousand cubic feet (M cu. ft.),,0.004782946
1081,Forest Industry,Black cherry,Logging residues,Sawtimber growing stock,Not Used,0.985191845,0.985191845,Thousand cubic feet (M cu. ft.),27.93382694,36.94469418
1082,Forest Industry,Black cherry,Logging residues,Poletimber growing stock,Not Used,1.368990767,1.368990767,Thousand cubic feet (M cu. ft.),27.93382694,51.33715375
1083,Forest Industry,Black cherry,Logging residues,Nongrowing-stock,Not Used,3.982973919,3.982973919,Thousand cubic feet (M cu. ft.),27.93382694,149.361522
1084,Forest Industry,Cottonwood,Roundwood product,Sawtimber growing stock,Saw logs,6.995066748,41.39894787,Thousand board feet (MBF) - International 1/4-inch rule,,259.9025947
1085,Forest Industry,Cottonwood,Roundwood product,Sawtimber growing stock,Veneer logs,0.007724931,0.047392214,Thousand board feet (MBF) - International 1/4-inch rule,,0.29752832
1086,Forest Industry,Cottonwood,Roundwood product,Sawtimber growing stock,Pulpwood,12.40927315,175.733298,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,492.0532344
1087,Forest Industry,Cottonwood,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,5.059747095,67.01651781,Thousand cubic feet (M cu. ft.),,187.6462499
1088,Forest Industry,Cottonwood,Roundwood product,Sawtimber growing stock,Miscellaneous,0.00988644,0.00988644,Thousand cubic feet (M cu. ft.),,0.370741487
1089,Forest Industry,Cottonwood,Roundwood product,Poletimber growing stock,Saw logs,0.22604334,1.337793733,Thousand board feet (MBF) - International 1/4-inch rule,,8.398669058
1090,Forest Industry,Cottonwood,Roundwood product,Poletimber growing stock,Veneer logs,0.056178708,0.344654653,Thousand board feet (MBF) - International 1/4-inch rule,,2.163741913
1091,Forest Industry,Cottonwood,Roundwood product,Poletimber growing stock,Pulpwood,13.53989007,191.7444727,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,536.8845235
1092,Forest Industry,Cottonwood,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.497978016,6.595735311,Thousand cubic feet (M cu. ft.),,18.46805887
1093,Forest Industry,Cottonwood,Roundwood product,Poletimber growing stock,Miscellaneous,0.001490107,0.001490107,Thousand cubic feet (M cu. ft.),,0.055878997
1094,Forest Industry,Cottonwood,Roundwood product,Nongrowing-stock,Saw logs,0.085930583,0.508563515,Thousand board feet (MBF) - International 1/4-inch rule,,3.192761749
1095,Forest Industry,Cottonwood,Roundwood product,Nongrowing-stock,Veneer logs,3.02E-05,0.000185013,Thousand board feet (MBF) - International 1/4-inch rule,,0.001161509
1096,Forest Industry,Cottonwood,Roundwood product,Nongrowing-stock,Pulpwood,1.563894228,22.14700951,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,62.01162662
1097,Forest Industry,Cottonwood,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.55565023,7.359605689,Thousand cubic feet (M cu. ft.),,20.60689593
1098,Forest Industry,Cottonwood,Roundwood product,Nongrowing-stock,Miscellaneous,0.000244871,0.000244871,Thousand cubic feet (M cu. ft.),,0.009182644
1099,Forest Industry,Elm,Roundwood product,Sawtimber growing stock,Saw logs,9.817979154,58.22974395,Thousand board feet (MBF) - International 1/4-inch rule,,365.5663325
1100,Forest Industry,Elm,Roundwood product,Sawtimber growing stock,Veneer logs,0.018040671,0.110678964,Thousand board feet (MBF) - International 1/4-inch rule,,0.694842536
1101,Forest Industry,Elm,Roundwood product,Sawtimber growing stock,Pulpwood,17.65169257,249.4650679,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,698.5021901
1102,Forest Industry,Elm,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,7.239116129,95.88233284,Thousand cubic feet (M cu. ft.),,268.470532
1103,Forest Industry,Elm,Roundwood product,Sawtimber growing stock,Miscellaneous,0.018135909,0.018135909,Thousand cubic feet (M cu. ft.),,0.680096589
1104,Forest Industry,Elm,Roundwood product,Poletimber growing stock,Saw logs,0.31726485,1.881675515,Thousand board feet (MBF) - International 1/4-inch rule,,11.81315888
1105,Forest Industry,Elm,Roundwood product,Poletimber growing stock,Veneer logs,0.131198792,0.804900566,Thousand board feet (MBF) - International 1/4-inch rule,,5.053165756
1106,Forest Industry,Elm,Roundwood product,Poletimber growing stock,Pulpwood,19.25994972,272.1939919,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,762.1431773
1107,Forest Industry,Elm,Roundwood product,Poletimber growing stock,Bioenergy/Fuelwood,0.712470529,9.436695743,Thousand cubic feet (M cu. ft.),,26.42274808
1108,Forest Industry,Elm,Roundwood product,Poletimber growing stock,Miscellaneous,0.002733485,0.002733485,Thousand cubic feet (M cu. ft.),,0.1025057
1109,Forest Industry,Elm,Roundwood product,Nongrowing-stock,Saw logs,0.120608524,0.715320674,Thousand board feet (MBF) - International 1/4-inch rule,,4.490783189
