,OWNER_MEANING,SPGRP_NAME,REMCLASSCD_MEANING,SOURCECD_MEANING,PRODCD_MEANING,MCFVOL,RPA_STD_AMOUNT,RPA_STD_AMOUNT_UOM_MEANING,SAWREMVOL,GREEN_TONS
57,National Forest,Cypress,Roundwood product,Nongrowing-stock,Saw logs,0.011213019,0.06661798,Thousand board feet (MBF) - International 1/4-inch rule,,0.389223472
58,National Forest,Cypress,Roundwood product,Nongrowing-stock,Veneer logs,0.00024095,0.001425738,Thousand board feet (MBF) - International 1/4-inch rule,,0.008329872
59,National Forest,Cypress,Roundwood product,Nongrowing-stock,Pulpwood,0.040045132,0.533800553,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,1.441261492
60,National Forest,Cypress,Roundwood product,Nongrowing-stock,Composite panel,0.004876691,0.06276308,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,0.169460316
61,National Forest,Cypress,Roundwood product,Nongrowing-stock,Bioenergy/Fuelwood,0.071656724,0.930606803,Thousand cubic feet (M cu. ft.),,2.512638368
62,National Forest,Cypress,Roundwood product,Nongrowing-stock,Miscellaneous,3.33E-05,3.33E-05,Thousand cubic feet (M cu. ft.),,0.00116706
63,National Forest,Cypress,Roundwood product,Nongrowing-stock,"Poles, Posts, Pilings",1.37E-05,1.37E-05,Thousand cubic feet (M cu. ft.),,0.000411116
64,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Saw logs,2681.491192,15932.39361,Thousand board feet (MBF) - International 1/4-inch rule,,93130.26464
65,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Veneer logs,1395.857822,8259.697027,Thousand board feet (MBF) - International 1/4-inch rule,,48257.27988
66,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Pulpwood,1734.601417,23019.85029,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,62153.59577
67,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Composite panel,280.1417206,3606.046222,Cords - standard (78 cubic feet solid wood; 128 cubic feet with bark and air),,9736.324799
68,National Forest,Loblolly-Shortleaf pine,Roundwood product,Sawtimber growing stock,Bioenergy/Fuelwood,232.575941,3020.466766,Thousand cubic feet (M cu. ft.),,8155.260268
